,,,,,,,,,,,,,,,,,,,,,,,,,,
업종코드-10차 표준산업분류 연계표,,,,,,,,,,,,,,,,,,,,,,,,,,
일련번호,,,,,,,,,,,,,,,,,,,,,,,,세부설명,,
,"2021년 귀속
업종코드",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,"표준산업
분류",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,메인,,,
56,143106,B,광업,14,"석탄, 원유 및 천연가스 광업",143,석탄 광업,1431,석탄 광업,석탄 광업(조광권자),1,05100,B,광업,05,"석탄, 원유 및 천연가스 광업",051,석탄 광업,0510,석탄 광업,석탄 광업,2,,조광권자,,
57,143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,석회석 및 점토 광업,석회석 및 점토 광업,5,07110,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0711,석회석 및 점토 광업,석회석 및 점토 광업,2,,조광권자,,
57,143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,5,07121,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,3,,조광권자,,
57,143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,5,07122,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,3,,조광권자,,
57,143107,B,광업,14,비금속광물 광업; 연료용 제외,143,기타 비금속광물 광업,1431,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,5,07210,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,3,,조광권자,,
57,143107,B,광업,14,비금속광물 광업; 연료용 제외,143,기타 비금속광물 광업,1431,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,5,07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,4,,조광권자,,
58,151101,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,도축업,육류 도축업(가금류 제외),1,10111,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1011,도축업,육류 도축업(가금류 제외),2,1,,,
59,151102,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업,1,10121,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업,2,1,,,
60,151103,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,도축업,가금류 도축업,1,10112,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1011,도축업,가금류 도축업,2,1,,,
61,151104,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외),1,10122,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외),2,1,,,
62,151105,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,육류 기타 가공 및 저장 처리업(가금류 제외),1,10129,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,육류 기타 가공 및 저장 처리업(가금류 제외),1,,,,
63,151200,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업,1,10212,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업,2,1,,,
64,151201,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,"수산동물 훈제, 조리 및 유사 조제식품 제조업",1,10211,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,"수산동물 훈제, 조리 및 유사 조제식품 제조업",1,,,,
65,151202,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업,1,10213,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업,2,1,,,
66,151203,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,기타 수산동물 가공 및 저장 처리업,1,10219,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,기타 수산동물 가공 및 저장 처리업,1,,,,
67,151301,C,제조업,15,식료품 제조업,151,"과실, 채소 가공 및 저장 처리업",1513,"과실, 채소 가공 및 저장 처리업",김치류 제조업,1,10301,C,제조업,10,식료품 제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",김치류 제조업,1,,,,
68,151302,C,제조업,15,식료품 제조업,151,"과실, 채소 가공 및 저장 처리업",1513,"과실, 채소 가공 및 저장 처리업",기타 과실ㆍ채소 가공 및 저장 처리업,1,10309,C,제조업,10,식료품 제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",기타 과실ㆍ채소 가공 및 저장 처리업,3,1,,,
69,151304,C,제조업,15,식료품 제조업,151,"과실, 채소 가공 및 저장 처리업",1513,"과실, 채소 가공 및 저장 처리업",과실 및 그 외 채소 절임식품 제조업,1,10302,C,제조업,10,식료품 제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",과실 및 그 외 채소 절임식품 제조업,1,,,,
70,151400,C,제조업,15,식료품 제조업,151,동물성 및 식물성 유지 제조업,1514,동물성 및 식물성 유지 제조업,식물성 유지 제조업,1,10402,C,제조업,10,식료품 제조업,104,동물성 및 식물성 유지 제조업,1040,동물성 및 식물성 유지 제조업,식물성 유지 제조업,2,1,,,
71,151401,C,제조업,15,식료품 제조업,151,동물성 및 식물성 유지 제조업,1514,동물성 및 식물성 유지 제조업,동물성 유지 제조업,1,10401,C,제조업,10,식료품 제조업,104,동물성 및 식물성 유지 제조업,1040,동물성 및 식물성 유지 제조업,동물성 유지 제조업,2,1,,,
72,151402,C,제조업,15,식료품 제조업,151,동물성 및 식물성 유지 제조업,1514,동물성 및 식물성 유지 제조업,식용 정제유 및 가공유 제조업,1,10403,C,제조업,10,식료품 제조업,104,동물성 및 식물성 유지 제조업,1040,동물성 및 식물성 유지 제조업,식용 정제유 및 가공유 제조업,1,,,,
73,152001,C,제조업,15,식료품 제조업,152,낙농제품 및 식용 빙과류 제조업,1520,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업(분유 및 조제분유),1,10501,C,제조업,10,식료품 제조업,105,낙농제품 및 식용 빙과류 제조업,1050,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업,2,,분유 및 조제분유,,
74,152002,C,제조업,15,식료품 제조업,152,낙농제품 및 식용 빙과류 제조업,1520,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업,1,10501,C,제조업,10,식료품 제조업,105,낙농제품 및 식용 빙과류 제조업,1050,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업,2,1,,,
75,152003,C,제조업,15,식료품 제조업,152,낙농제품 및 식용 빙과류 제조업,1520,낙농제품 및 식용 빙과류 제조업,아이스크림 및 기타 식용 빙과류 제조업,1,10502,C,제조업,10,식료품 제조업,105,낙농제품 및 식용 빙과류 제조업,1050,낙농제품 및 식용 빙과류 제조업,아이스크림 및 기타 식용 빙과류 제조업,1,,,,
76,153101,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1531,곡물 가공품 제조업,기타 곡물 가공품 제조업,1,10619,C,제조업,10,식료품 제조업,106,"곡물 가공품, 전분 및 전분제품 제조업",1061,곡물 가공품 제조업,기타 곡물 가공품 제조업,2,1,,,
77,153102,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1531,곡물 가공품 제조업,곡물 도정업,1,10611,C,제조업,10,식료품 제조업,106,"곡물 가공품, 전분 및 전분제품 제조업",1061,곡물 가공품 제조업,곡물 도정업,2,1,,,
78,153103,C,제조업,15,식료품 제조업,153,"곡물 가공품, 전분 및 전분제품 제조업",1531,곡물 가공품 제조업,곡물 제분업,1,10612,C,제조업,10,식료품 제조업,106,"곡물 가공품, 전분 및 전분제품 제조업",1061,곡물 가공품 제조업,곡물 제분업,3,1,,,
